filename,label
1_20260921223231,1
2_20260921223247,1
3_20260921223258,1
4_20260921223310,2
5_20260921225416,0
6_20260921225430,0
7_20260921225441,2
8_20260921225453,0
9_20260921225504,0
10_20260921225515,2
11_20260921225527,0
12_20260921225538,0
13_20260921225549,0
14_20260921225601,1
15_20260921225612,0
16_20260921225623,1
17_20260921225635,1
18_20260921225646,2
19_20260921225657,1
20_20260921225709,2
21_20260921225720,2
22_20260921225731,1
23_20260921225743,1
24_20260921225754,0
25_20260921225805,0
26_20260921225817,0
27_20260921225828,0
28_20260921225839,1
29_20260921225853,1
30_20260921225905,1
31_20260921225916,1
32_20260921225927,1
33_20260921225939,2
34_20260921225950,1
35_20260921230001,1
36_20260921230013,2
37_20260921230024,1
38_20260921230035,0
39_20260921230047,0
40_20260921230058,0
41_20260921230109,0
42_20260921230121,1
43_20260921230132,1
44_20260921230143,1
45_20260921230155,2
46_20260921230206,1
47_20260921230217,0
48_20260921230300,1
49_20260921230311,1
50_20260921230322,1
51_20260921230334,1
52_20260921230345,0
53_20260921230356,0
54_20260921230408,0
55_20260921230419,0
56_20260921230430,2
57_20260921230442,1
58_20260921230453,1
59_20260921230504,1
60_20260921230516,0
61_20260921230527,0
63_20260921230550,0
64_20260921230601,1
65_20260921230613,0
66_20260921230624,1
67_20260921230635,0
68_20260921230647,1
69_20260921230658,1
70_20260921230709,1
71_20260921230721,1
72_20260921230732,1
73_20260921230743,0
74_20260921230755,0
75_20260921230806,0
76_20260921230817,0
77_20260921230829,0
78_20260921230840,0
79_20260921230851,1
80_20260921230903,1
81_20260921230914,1
82_20260921230925,1
83_20260921230937,1
84_20260921230948,0
85_20260921230959,0
86_20260921231011,0
87_20260921231022,0
88_20260921231033,0
89_20260921231045,0
90_20260921231056,0
91_20260921231107,0
92_20260921231119,0
93_20260921231130,2
94_20260921231141,2
95_20260921231153,1
96_20260921231204,1
97_20260921231216,0
98_20260921231227,1
99_20260921231238,0
100_20260921231250,1
101_20260921231301,0
102_20260921231312,0
103_20260921231324,0
104_20260921231335,0
105_20260921231346,2
106_20260921231358,2
107_20260921231409,1
108_20260921231420,1
109_20260921231432,1
110_20260921231443,1
111_20260921231454,0
112_20260921231506,0
113_20260921231517,1
114_20260921231528,0
115_20260921231540,0
116_20260921231551,0
117_20260921231602,0
118_20260921231614,0
119_20260921231625,1
120_20260921231636,0
121_20260921231648,1
122_20260921231659,1
123_20260921231711,0
124_20260921231722,1
